station code,year,wqi,ph,do,bod,nitrate,locations,locations_full,water_quality
1702,2007,69.0,7.6,6.2,3.7,2.23,GHAGGAR AT U/S JHARMAL NADI,"GHAGGAR AT U/S JHARMAL NADI, PUNJAB",Average
1702,2008,157.0,7.4,4.5,22.7,3.07,U/S JHARMAL NADI,"U/S JHARMAL NADI, PUNJAB",Bad
1702,2009,120.0,7.2,4.5,10.5,3.3,NAN,NAN,Bad
1702,2010,150.0,6.6,4.8,15.0,3.3,U/S JHARMAL NADI,"U/S JHARMAL NADI, PUNJAB",Bad
1702,2011,156.0,7.4,4.8,16.0,5.03,GHAGGAR AT U/S JHARMAL NADI,GHAGGAR AT U/S JHARMAL NADI,Bad
1702,2012,155.0,7.4,5.1,16.0,14.85,GHAGGAR AT U/S JHARMAL NADI,GHAGGAR AT U/S JHARMAL NADI,Bad
1702,2013,152.0,7.3,5.1,14.8,5.0,U/S JHARMAL NADI,"U/S JHARMAL NADI, PUNJAB",Bad
1702,2014,138.0,7.2,5.3,13.3,5.9,U/S JHARMAL NADI,"U/S JHARMAL NADI, PUNJAB",Bad
1703,2006,163.0,7.733,4.2,21.0,1.4,GHAGGER AT MOONAK,"GHAGGER AT MOONAK, PUNJAB",Bad
1703,2007,117.0,7.8,6.0,9.6,3.0,GHAGGER AT MOONAK,"GHAGGER AT MOONAK, PUNJAB",Bad
1703,2008,156.0,7.5,5.2,28.5,3.55,GHAGGER AT MOONAK,"GHAGGER AT MOONAK, PUNJAB",Bad
1703,2009,120.0,7.5,4.8,10.0,4.1,NAN,NAN,Bad
1703,2010,149.0,6.9,5.0,25.5,3.8,GHAGGER AT MOONAK,"GHAGGER AT MOONAK, PUNJAB",Bad
1703,2011,156.0,7.5,5.3,18.3,15.8,GHAGGAR AT MOONAK,"GHAGGAR AT MOONAK, PUNJAB",Bad
1703,2012,154.0,7.4,5.3,26.9,8.1,GHAGGAR AT MOONAK,GHAGGAR AT MOONAK,Bad
1703,2013,156.0,7.4,4.6,24.3,4.0,GHAGGER AT MOONAK,"GHAGGER AT MOONAK, PUNJAB",Bad
1703,2014,160.0,7.7,4.9,21.0,4.2,GHAGGER AT MOONAK,"GHAGGER AT MOONAK, PUNJAB",Bad
1704,2006,162.0,7.667,4.033,21.333,1.767,GHAGGAR AT D/S SARDULGARH,"GHAGGAR AT D/S SARDULGARH, PUNJAB",Bad
1704,2007,128.0,7.8,5.9,11.1,3.5,GHAGGAR AT D/S SARDULGARH,"GHAGGAR AT D/S SARDULGARH, PUNJAB",Bad
1704,2008,156.0,7.6,5.5,27.8,3.33,D/S SARDULGARH,"D/S SARDULGARH, PUNJAB",Bad
1704,2009,139.0,7.6,3.1,11.5,4.1,NAN,NAN,Bad
1704,2010,151.0,6.6,4.5,30.3,4.1,D/S SARDULGARH,"D/S SARDULGARH, PUNJAB",Bad
1704,2011,155.0,7.5,5.6,34.5,12.15,GHAGGAR AT D/S SARDULGARH,GHAGGAR AT D/S SARDULGARH,Bad
1704,2012,156.0,7.4,4.9,27.8,6.78,GHAGGAR AT D/S SARDULGARH,GHAGGAR AT D/S SARDULGARH,Bad
1704,2013,159.0,7.4,4.0,26.0,3.0,D/S SARDULGARH,"D/S SARDULGARH, PUNJAB",Bad
1704,2014,160.0,7.5,4.1,23.0,6.1,D/S SARDULGARH,"D/S SARDULGARH, PUNJAB",Bad
1705,2006,162.0,7.633,4.133,20.333,1.667,GHAGGAR AT U/S SARDULGARH,"GHAGGAR AT U/S SARDULGARH, PUNJAB",Bad
1705,2007,122.0,7.7,5.9,10.4,3.33,GHAGGAR AT U/S SARDULGARH,"GHAGGAR AT U/S SARDULGARH, PUNJAB",Bad
1705,2008,155.0,7.6,5.6,25.8,3.23,U/S SARDULGARH,"U/S SARDULGARH, PUNJAB",Bad
1705,2009,128.0,7.6,3.1,10.0,3.7,NAN,NAN,Bad
1705,2010,150.0,6.7,4.7,26.8,3.7,U/S SARDULGARH,"U/S SARDULGARH, PUNJAB",Bad
1705,2011,154.0,7.4,5.4,22.0,8.3,GHAGGAR AT U/S SARDULGARH,GHAGGAR AT U/S SARDULGARH,Bad
1705,2012,154.0,7.4,5.2,20.5,6.18,GHAGGAR AT U/S SARDULGARH,GHAGGAR AT U/S SARDULGARH,Bad
1705,2013,156.0,7.3,4.4,21.5,4.0,U/S SARDULGARH,"U/S SARDULGARH, PUNJAB",Bad
1705,2014,156.0,7.4,4.8,17.0,4.7,U/S SARDULGARH,"U/S SARDULGARH, PUNJAB",Bad
1717,2003,107.0,203.0,7.6,1.9,0.107,KODRA DAM,"KODRA DAM, MOUNT ABU, RAJASTHAN",Bad
1717,2006,57.0,7.1,6.1,3.1,0.3,KODRA DAM,"KODRA DAM, MOUNT ABU, RAJASTHAN",Average
1717,2007,57.0,7.4,5.6,2.2,0.38,KODRA DAM,"KODRA DAM, MOUNT ABU, RAJASTHAN",Average
1717,2008,60.0,7.8,5.4,1.7,0.41,KODRA DAM,"KODRA DAM, MOUNT ABU, RAJASTHAN",Average
1717,2009,48.0,7.3,4.8,0.8,1.1,NAN,NAN,Good
1717,2010,48.0,7.3,5.2,0.9,0.59,KODRA DAM,"KODRA DAM, MOUNT ABU, ",Good
1717,2012,49.0,7.3,5.9,1.5,0.36,KODRA DAM,"KODRA DAM, MOUNT ABU",Good
1717,2013,47.0,7.4,5.5,0.8,0.0,KODRA DAM,"KODRA DAM, MOUNT ABU, RAJASTHAN",Good
1717,2014,42.0,7.2,6.0,0.8,0.4,KODRA DAM,"KODRA DAM, MOUNT ABU, RAJASTHAN",Good
1718,2010,67.0,7.9,3.3,1.3,0.97,GAGGAR  ENTERING IN  FROM HARYANA NR RD NO. 629,"GAGGAR  ENTERING IN  FROM HARYANA NR RD NO. 629, ",Average
1718,2011,75.0,7.9,4.8,3.2,0.68,GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629,"GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629, RAJASTHAN",Average
1718,2012,63.0,7.5,4.8,2.4,0.72,GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629,GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629,Average
1718,2013,53.0,7.6,4.8,0.8,0.0,GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629,"GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629, RAJASTHAN",Good
1718,2014,63.0,6.8,4.0,3.0,0.8,GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629,"GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629, RAJASTHAN",Average
